"","Lambdas","RMSE"
"1",0,15.5614548022189
"2",5,15.7515962833612
"3",10,15.9419705868387
"4",15,16.1124874782748
"5",20,16.2692876795773
"6",25,16.415903317734
"7",30,16.5544618472279
"8",35,16.6863310980156
"9",40,16.8124443965222
"10",45,16.9334734124733
"11",50,17.0499248206168
"12",55,17.1621967680645
"13",60,17.2706131478728
"14",65,17.3754451309896
"15",70,17.4769251300129
"16",75,17.575256129424
"17",80,17.6706180999579
"18",85,17.7631725308548
"19",90,17.8530657179475
"20",95,17.9404312104223
"21",100,18.0253916760803
"22",105,18.1080603560558
"23",110,18.1885422236116
"24",115,18.2669349252698
"25",120,18.3433295586477
"26",125,18.41781132543
"27",130,18.4904600870974
"28",135,18.5613508435961
"29",140,18.6305541499397
"30",145,18.6981364820555
"31",150,18.7641605605505
"32",155,18.8286856391448
"33",160,18.8917677631048
"34",165,18.9534600019436
"35",170,19.0138126598535
"36",175,19.072873466715
"37",180,19.1306877520466
"38",185,19.1872986038799
"39",190,19.2427470142425
"40",195,19.2970720126863
"41",200,19.3503107891017
