Year,Min Bib Number,Wave,Min Qual Time,Max Qual Time,Cutoff
2015,101,1,,190.9833333,1.033333333
2015,8000,2,190.9833333,209.4666667,1.033333333
2015,16000,3,209.4666667,233.9166667,1.033333333
2015,24000,4,233.9166667,,1.033333333
2016,101,1,,189.8166667,2.466666667
2016,8000,2,189.8166667,208.2833333,2.466666667
2016,16000,3,208.2833333,230.7833333,2.466666667
2016,24000,4,230.7833333,,2.466666667
2017,101,1,,190.7166667,2.15
2017,8000,2,190.7166667,209.45,2.15
2017,16000,3,209.45,237.3,2.15
2017,24000,4,237.3,,2.15
