Distance,Race,Time
1,Boston Marathon 2015,191.406
2,Boston Marathon 2015,188.1285
3,Boston Marathon 2015,185.288
4,Boston Marathon 2015,183.7585
5,Boston Marathon 2015,183.8022
6,Boston Marathon 2015,182.229
7,Boston Marathon 2015,181.2301429
8,Boston Marathon 2015,180.863375
9,Boston Marathon 2015,180.3838889
10,Boston Marathon 2015,180.3062
11,Boston Marathon 2015,180.2426364
12,Boston Marathon 2015,180.0075833
13,Boston Marathon 2015,180.0103846
14,Boston Marathon 2015,180.1376429
15,Boston Marathon 2015,180.3353333
16,Boston Marathon 2015,182.174375
17,Boston Marathon 2015,182.3575294
18,Boston Marathon 2015,182.5203333
19,Boston Marathon 2015,182.436
20,Boston Marathon 2015,182.5349
21,Boston Marathon 2015,182.8324762
22,Boston Marathon 2015,182.4673636
23,Boston Marathon 2015,182.419
24,Boston Marathon 2015,182.3746667
25,Boston Marathon 2015,182.50868
26,Boston Marathon 2015,182.9517308
26.22,Boston Marathon 2015,184.15
1,New York City Marathon 2015,212.819
2,New York City Marathon 2015,187.036
3,New York City Marathon 2015,185.4336667
4,New York City Marathon 2015,184.1955
5,New York City Marathon 2015,182.4912
6,New York City Marathon 2015,181.4278333
7,New York City Marathon 2015,180.8555714
8,New York City Marathon 2015,180.6995
9,New York City Marathon 2015,180.7237778
10,New York City Marathon 2015,183.1904
11,New York City Marathon 2015,183.5797273
12,New York City Marathon 2015,183.7949167
13,New York City Marathon 2015,185.4224615
14,New York City Marathon 2015,186.0371429
15,New York City Marathon 2015,188.5218
16,New York City Marathon 2015,190.2315625
17,New York City Marathon 2015,191.9972353
18,New York City Marathon 2015,192.8626667
19,New York City Marathon 2015,195.868
20,New York City Marathon 2015,199.0972
21,New York City Marathon 2015,199.8338571
22,New York City Marathon 2015,201.3775455
23,New York City Marathon 2015,202.445
24,New York City Marathon 2015,203.1685833
25,New York City Marathon 2015,204.1664
26,New York City Marathon 2015,204.1462308
26.22,New York City Marathon 2015,204.5333333
